_id,additional,firstName,lastName,role,fullName,occupation
6624d0a746b3b9baaf9e7dff,Gast vom Dessauer Hoftheater,Herr,Butterweck,Adam,Herr Butterweck,Schauspieler
663f40892ab4d9095f1b450d,,Auguste,Bärendorf,"Adrienne Lecouvreur, Mitglied der Comédie française",Auguste Bärendorf,Schauspieler
6504166ba47588ad6024b627,,Adolphe,Bélot,,Adolphe Bélot,Schauspieler
6603397621b0fcd2e60e309d,Gast des leipziger Nationaltheaters,Mlle.,Böhler d.j.,Floretta,Mlle. Böhler d.j.,Schauspieler
660338f021b0fcd2e60db5f4,Gast des leipziger Nationaltheaters,Mlle.,Böhler d.Ä.,Donna Diana,Mlle. Böhler d.Ä.,Schauspieler
65114f857e379d5809c0101c,1928-1930,Else,Böhm,Die Kühdirn,Else Böhm,Schauspieler
65425b5e0080658502aaf108,,Heinrich,Börnstein,Deutsch,Heinrich Börnstein,Schauspieler
65845aa051cd38b410e9518e,,Georg,Büchner,,Georg Büchner,Schauspieler
66be77ad797f4aaa6a8f1720,,Paul,Bühlmann,Zöllner,Paul Bühlmann,Schauspieler
6561f7920080658502cf3089,,Isabella von,Bünau,Elsa,Isabella von Bünau,Schauspieler
663612832ab4d9095f1f587f,vom Stadttheater zu Hamburg,Herr,Bürde,"Hamlet, Sohn des vorigen, und Neffe des gegenwärtigen Königs",Herr Bürde,Schauspieler
6504166ba47588ad6024a6bb,,"(KORDEL), Christine",CORDEEL,"Jack, Jockey","(KORDEL), Christine CORDEEL",Schauspieler
6651f10b2ab4d9095f2fc0f6,,Franz,Cache,Wanderer,Franz Cache,Schauspieler
6504166ba47588ad6024a681,1770-1841,Josef,Caché,"Stiefel, sein Reitknecht",Josef Caché,Schauspieler
673fb76bada7feeef6e48a67,,Herr,Calliano,"Comtois, Diener",Herr Calliano,Schauspieler
6504166ba47588ad6024b300,,Albert,Camus,,Albert Camus,Schauspieler
6504166ba47588ad6024b302,,Erneste,Capendu,,Erneste Capendu,Schauspieler
6504166ba47588ad6024a68c,1846 - 1896,Karl (eig Carl Ritter von Caro),Carode,Senden,Karl (eig Carl Ritter von Caro) Carode,Schauspieler
6504166ba47588ad6024a68d,,Herr,Carpano,Dessen Sohn,Herr Carpano,Schauspieler
65b8ed394cfe378558634e02,,Fiorenzo,Carpi,Musik,Fiorenzo Carpi,Schauspieler
6912047bdd3949980ba0dc1b,,Ethel,Casey,Refugees and Conveeners,Ethel Casey,Schauspieler
6504166ba47588ad6024bf47,,Frank,Castorf,Inszenierung,Frank Castorf,Schauspieler
65a1e9f84cfe378558dd5216,,Otto,Cermak,Bühnenbild,Otto Cermak,Schauspieler
6504166ba47588ad6024b317,,Sébastien Roche Nicolas,Chamfort,,Sébastien Roche Nicolas Chamfort,Schauspieler
6504166ba47588ad6024a68f,a. G. aus München,Adolf,Christen,Ringelstern,Adolf Christen,Schauspieler
6504166ba47588ad6024a690,,Fräulein,Christien,"Jane Eyre, eine Waise",Fräulein Christien,Schauspieler
691202f6dd3949980ba0dbd8,,Marcella,Cisney,Regie,Marcella Cisney,Schauspieler
6504166ba47588ad6024a69b,1861-1918,Hans,Claar,Rosenkranz,Hans Claar,Schauspieler
6912060ddd3949980ba0dc51,,Nancy,Clare,Refugees and Conveeners,Nancy Clare,Schauspieler
690c5dbb52365fce4c9877d7,,Colin,Clark,Assistant Stage Manager,Colin Clark,Schauspieler
6504166ba47588ad6024b66c,,Paul,Claudel,,Paul Claudel,Schauspieler
67c1882930450db5f651d5de,,Pierre,Claudel,Gedenkrede,Pierre Claudel,Schauspieler
6504166ba47588ad6024a6a1,1878-1951,Elvira,Clemens,"Mad. Pavoni, eine Tänzerin",Elvira Clemens,Schauspieler
6504166ba47588ad6024b671,,Jean,Cocteau,,Jean Cocteau,Schauspieler
673fb6e8ada7feeef6e48a22,,Herr,Colas,Türsteher,Herr Colas,Schauspieler
691209d5dd3949980ba15977,,Nancy,Coleman,Her Daugther,Nancy Coleman,Schauspieler
6504166ba47588ad6024a6ab,,Ludwig,Collin,Kämpe,Ludwig Collin,Schauspieler
6504166ba47588ad6024b67a,,Georg,Colman,,Georg Colman,Schauspieler
6504166ba47588ad6024a6b1,,Paula,Conrad,"Margarethe, ihre Schwester",Paula Conrad,Schauspieler
6504166ba47588ad6024a6b3,1855-1909,Heinrich,Conried,Fritz,Heinrich Conried,Schauspieler
6504166ba47588ad6024a6b4,,Sidonie,Conti,Cherub,Sidonie Conti,Schauspieler
690c5fa652365fce4c987e02,,David,Conville,Zweiter Gote,David Conville,Schauspieler
6504166ba47588ad6024a6b9,,Philippine,Copelli,Page,Philippine Copelli,Schauspieler
6504166ba47588ad6024b31a,,Alexander,Cosmar,Deutsch,Alexander Cosmar,Schauspieler
6504166ba47588ad6024a6c8,,Carl,Costenoble,Walter Fürst,Carl Costenoble,Schauspieler
